DeviceID,TypeofDevice,SoftwareVersion,Patched,ManagementGroupEmail,GroupID
5b38ee51-ee16-4b83-b2a5-b85ba015e0a3,Server,Apple iOS 14,No,robert04@ramos-vasquez.com,19
acf98699-f6a9-4913-a0a6-ffabbecd9d05,Mobile Device,Mozilla Firefox 78,No,weaverjorge@williams-daniels.net,15
0b3836e7-f36b-464c-9133-946e9f02f003,Mobile Device,Adobe Acrobat 2021,Yes,susanstrong@thompson-brown.com,2
656c387c-2ed3-4b61-9afd-3988f8027eab,Mobile Device,Apple iOS 14,No,brownkathryn@cole.com,6
2980c65b-b52c-41a1-86cf-a26e1cecbf01,Mobile Device,Google Chrome 91,Yes,nicholas39@cross-garza.net,15
8d49071e-30b9-4bea-a2c6-0c32b54acc6d,Laptop,Microsoft Windows 11,No,vrobinson@williams.info,4
29838c9e-69ec-42dc-b5b9-01b4ba5f95e7,Server,Apple iOS 14,Yes,hensonjessica@hayes.com,13
842f7298-0947-4489-b9a5-8c90257709f3,Laptop,Microsoft SQL Server 2019,No,josephroberts@owens.com,17
a718ab3c-bc54-4bfa-a085-ffaab4f58c43,Server,Linux Ubuntu 20.04,No,mendezmariah@jones-sanchez.com,12
9f0a536d-0c20-4b8b-be44-e2468715cc91,Server,Cold Fusion 2018,No,brandon13@davis.com,15
2bed109b-4009-4e18-9e0a-5cda6ab96c54,Mobile Device,Linux Ubuntu 20.04,No,millerbrittany@clark.com,7
dac12dd3-14b7-4385-9053-dde86e927801,Mobile Device,Java Platform Java 8,Yes,bmoses@oliver.biz,15
577f3c07-d328-4c96-959f-171d72a49818,Mobile Device,Linux RedHat 8,No,matthewdixon@paul.biz,8
c06e7fae-acd2-4d8c-81de-b4649a7d732e,Laptop,Microsoft Windows 11,Yes,blyons@barrett.net,19
6e7174d2-2728-40d9-91d8-f0e78a84efb6,Mobile Device,Linux Ubuntu 20.04,No,asmith@johnston.com,2
7e188fcf-6933-4184-94e8-9a790c54fbaf,Mobile Device,Apple macOS Big Sur,Yes,igross@jones.org,14
8b2132b6-426d-402f-9d3f-ef3a121f066d,Mobile Device,Microsoft Windows 11,Yes,baileymatthew@jacobs.org,17
6a6d92a2-0ee1-4647-93f7-5b3405d3dcf8,Server,Mozilla Firefox 79,No,diana90@adams.net,13
5fe93681-d332-4df6-95cd-ec8003f1cf58,Server,Mozilla Firefox 78,Yes,michael85@bryan.biz,14
a5c54003-cbef-4edc-9460-687e7640bbba,Laptop,Java Platform Java 8,No,williamsjeffrey@pacheco-lewis.org,9
dcc66541-85d9-440a-9826-110cc18cee7f,Server,Mozilla Firefox 79,Yes,jamiemccoy@smith-wallace.com,20
116aadcf-b5d7-4c7b-b993-6b29dbd90a17,Mobile Device,Microsoft Project 2021,No,tsimpson@barnett-chavez.net,15
45f47fed-9ae5-40fd-8261-efdafee5a2fb,Laptop,Linux Ubuntu 20.04,No,xmorgan@schneider.com,6
1e2efbff-7b03-47b5-a55a-95f73a6ab366,Server,Adobe Acrobat 2022,No,claudiamiranda@jones.net,17
33eda631-cb46-4334-a726-c89d285b3713,Laptop,Java Platform Java 11,Yes,ilucas@herrera.net,14
ccd6ccb6-6bbe-46f7-a1ba-73eea816fb3c,Server,Adobe Acrobat 2021,Yes,joseph06@lyons-jones.com,4
c92da491-32ad-4546-a7e1-78957b7fbc34,Laptop,Adobe Acrobat 2021,Yes,pparker@johnson.com,20
55ebba2b-aad7-47c1-b1f7-47b4851aede7,Laptop,Java Platform Java 11,No,thomasdonald@cardenas-thompson.com,15
06145e78-c987-4d28-af34-e49abdadb5c0,Laptop,Microsoft Office 2019,Yes,morrissydney@turner-reyes.net,15
aff1522d-e12c-4d1f-b5bf-9b14afe8dd41,Laptop,Microsoft SQL Server 2022,No,iwall@ellison.net,11
2de6d5ce-5c24-43af-998e-ae9edb2b0371,Laptop,Microsoft Project 2019,Yes,mary24@johnson.com,12
8b52fceb-85dc-4643-8138-97ea8d8eab90,Laptop,Mozilla Firefox 78,Yes,shanefloyd@joseph.com,6
63b9d31a-e456-4255-93f3-e39af88574c1,Laptop,Apple iOS 15,No,justinstone@wolfe.com,20
77473245-342b-43bf-86d1-707ac2a75ee2,Mobile Device,Mozilla Firefox 79,No,wayne74@schaefer.com,20
4fd16eec-e03b-4f06-838f-8cd270bc8931,Laptop,Apple macOS Big Sur,No,pattersonsergio@gray.com,8
1ce8b928-60ec-4820-a092-ff794c7f0ac7,Mobile Device,Microsoft Project 2019,Yes,phillipsjoseph@rojas-miller.com,20
7efeb97a-ad6f-4129-abb6-998f3ca9dd4f,Laptop,VPN Software v2.0,Yes,edwin53@glass-stuart.info,10
fb6f2289-f9f0-42a6-b8f0-be6382908cbd,Mobile Device,Apple iOS 14,Yes,rebecca07@spencer-vega.com,3
6c06333f-001c-428f-a39a-d7a80aa440b3,Laptop,Google Chrome 90,Yes,cristinasmith@chavez-wolfe.info,8
337ec4a2-7a94-4c09-bdda-2972a7098eed,Laptop,VPN Software v1.0,Yes,debbiesullivan@lucas.com,16
0332515b-ef0c-4248-99b7-e60681c098c4,Mobile Device,Google Chrome 91,Yes,jasonwood@blake-reyes.com,11
10035ea2-6fa1-48cd-99e2-bc4960977d75,Server,Cold Fusion 2021,No,jason57@delgado-rogers.biz,10
dfccb4ab-5640-4083-8665-297d60b1b283,Laptop,Cold Fusion 2018,No,jsmith@floyd.com,15
2e43e763-fb98-4574-b650-d5c583ca8e5f,Server,Microsoft Windows 10,No,timothy02@brock-rice.com,13
936943f7-960d-41bc-a238-6f4460969307,Mobile Device,Microsoft Windows 11,Yes,alison10@boyd-skinner.com,9
5c85fdf4-4119-441f-aaa9-501ccd90556f,Mobile Device,Apple macOS Monterey,Yes,garzakrystal@pearson.com,11
7da60e4a-5205-48f2-8c66-827bc13f3ce1,Laptop,Cold Fusion 2018,No,marcus40@walker.org,12
8353a5d9-78a9-4f4e-b619-bd5547e44ec7,Server,Linux RedHat 8,Yes,scruz@dominguez.biz,12
1fb88944-a438-47da-b0c1-5f1f8ccbe671,Server,Linux Ubuntu 20.04,No,shannonmartinez@thomas-conley.com,18
b93164a8-4ed5-4141-8513-182988504010,Server,Microsoft Windows 10,No,william62@cook-hall.com,3
4d4d605e-9f6d-4a51-b756-359cf4df3c0e,Laptop,Java Platform Java 11,Yes,michellecross@anderson-harrell.com,12
484a2feb-f6b0-4c4a-b10a-9501a6fd8c5d,Mobile Device,VPN Software v2.0,No,johnpeters@hendricks.com,7
90f9c307-763c-4e5e-a306-d1c898e45f5c,Mobile Device,Microsoft Windows 10,No,janicejones@case-ortega.info,1
e229a8e1-fbe4-43dd-88c7-a62d5e02707d,Server,Microsoft Office 2019,No,lfritz@garcia.biz,17
431d9340-1e15-424f-8c94-3a21b2b13b79,Mobile Device,Adobe Acrobat 2021,No,jake76@smith-williams.net,7
e51ab5da-51a5-46c0-9de9-6d674b394a63,Mobile Device,Java Platform Java 8,Yes,robersonaudrey@bruce-stephens.net,20
bddbd2e5-14bc-4a15-8180-31ec286b78cd,Mobile Device,VPN Software v2.0,No,nicholas82@brooks-rogers.info,16
180b13c7-3b17-4f1f-a3a3-457d3dad5519,Mobile Device,Java Platform Java 8,No,jordanmitchell@landry-byrd.com,9
b4a3f257-5630-4b5e-a248-8b08d355f422,Laptop,Apple macOS Monterey,No,sosborn@barnes.com,12
5319f064-d90f-4b78-b2ff-8d42478dca58,Mobile Device,VPN Software v1.0,No,rileyrobert@lewis.com,19
dbd6d253-0406-4112-b040-4e50816e63b5,Mobile Device,Adobe Acrobat 2021,No,randall24@goodman.com,10
996fc730-e30a-44ba-b160-3189273cd3fa,Mobile Device,Apple macOS Monterey,Yes,simondenise@sellers.com,1
802941f4-8daf-4d45-87b4-f13be8d24418,Server,Adobe Acrobat 2021,Yes,tonya60@miller.com,1
80c7b08e-6110-41dc-8709-72fb0e191f8b,Mobile Device,Microsoft Office 2019,Yes,fhawkins@mckenzie.biz,8
f736c34d-c0bc-4382-9713-f73b083a1bfe,Mobile Device,Apple iOS 14,Yes,josephjohnson@estrada.net,1
b11afeb5-172d-44ab-a9d1-1638c66b3c59,Mobile Device,Java Platform Java 8,No,luisbrown@roth.net,5
52694b22-9227-4f40-b149-0092aefeaffd,Server,Cold Fusion 2021,Yes,jtaylor@davis.org,1
1b0e4369-6913-4dfb-911f-7760c95e57c7,Mobile Device,Adobe Acrobat 2021,No,baileycharles@solis-grimes.org,12
58e9ea66-a0c4-4cc9-8b96-3e540512aba0,Laptop,VPN Software v1.0,Yes,ukeller@owens-murray.biz,16
7ccb8db1-150f-4a04-8b31-008376e55b54,Laptop,VPN Software v1.0,Yes,escobarmark@hernandez.com,14
f641a7b6-be53-4b5b-a9ca-ed35c5dc911a,Laptop,Linux RedHat 8,Yes,karen99@ryan.com,12
af5417cd-aa7f-4f28-b61c-8f389cad6fed,Laptop,Microsoft Windows 10,No,bquinn@franklin.com,20
ac90a58f-9c6a-4286-b44f-12f57a8dde6f,Mobile Device,Java Platform Java 11,Yes,nicolejordan@wheeler-miller.net,16
8c9f89c9-596e-46c7-898a-6b4585068ee9,Laptop,Microsoft SQL Server 2022,No,moralesjames@sutton.com,8
ce634407-339e-4d9e-aaf7-cb161ffa3967,Laptop,Mozilla Firefox 79,No,vickimayer@taylor.org,12
f30ab8cd-89cf-44ae-beaa-44200a6be2de,Server,Apple macOS Big Sur,Yes,winterssamantha@santiago.com,7
d97de9a5-f133-4ede-ac06-5c5a29264494,Server,VPN Software v2.0,Yes,eric12@bullock.com,12
