DeviceID,TypeofDevice,SoftwareandVersionInstalled,Patched,ManagementGroupEmail,GroupID
a85dcfef-2750-4871-94b1-a0ee1be9c735,Mobile Device,VPN Software v2.0,Yes,hollowaydavid@romero-smith.biz,15
9395237d-0c9d-4669-b2f9-46f247296456,Laptop,Google Chrome 91,Yes,vwalton@nunez.info,5
3bd579a5-5b6b-4071-b5b7-5a461ecc8827,Mobile Device,Java Platform Java 8,Yes,stephen16@dickerson-smith.net,13
d3759285-98c2-43b3-a1af-8024bc8f99bd,Laptop,Google Chrome 91,No,stephanie02@gibson.com,18
6958e484-d0f3-4a26-89e9-8a9695606fe6,Laptop,Adobe Acrobat 2022,No,nunezwendy@nguyen-rivera.com,6
7fe61415-30d9-4d23-a051-20a4c500e5a7,Laptop,Microsoft SQL Server 2019,Yes,daisy73@hurst.com,15
70b4674a-89ed-46bc-bb40-e3f928903db8,Mobile Device,Microsoft Windows 11,No,brooksjeffrey@greene-evans.com,12
b96af3ed-6001-47c5-8bcf-a283a811e180,Server,Google Chrome 91,No,jessicamartin@morales-phillips.com,10
dca3be4b-6983-455d-9e29-44f9acfc5af3,Mobile Device,Apple macOS Big Sur,Yes,gabrielmiller@ballard.com,20
66a7dd1b-c6ae-48c4-9068-7514c2c382c5,Server,Mozilla Firefox 79,No,gouldbrittany@miller.com,10
f28ddd42-0008-4256-aa24-8b37f93a6ae8,Laptop,VPN Software v1.0,Yes,joseprice@bradford.com,20
135e2400-255a-4ee6-99ec-bb298aebd353,Laptop,Google Chrome 90,No,morgantina@miller.com,13
58c113e6-d42b-4d73-be8a-8f31832f6234,Laptop,Mozilla Firefox 79,Yes,james27@stanley.com,8
564e9d79-ed4c-476c-8fd2-74797f3cfead,Laptop,Java Platform Java 11,Yes,evansmichelle@page.org,20
51b4101c-a8d9-4d7f-8067-2bc6adb8f5a8,Server,Microsoft Project 2019,Yes,jerry21@smith.net,3
